ID,Timestamp,Source IP,Destination IP,Attack Type,Threat Score,Malicious
37374,2025-12-26 16:07:15.739125,192.168.29.104,192.168.29.255,BENIGN,0.0,False
37373,2025-12-26 16:07:13.692827,192.168.29.104,192.168.29.255,BENIGN,0.0,False
37372,2025-12-26 16:07:12.663114,34.72.0.0,192.168.29.49,BENIGN,0.4079,False
37371,2025-12-26 16:07:12.348287,192.168.29.49,34.72.0.0,BENIGN,0.2471,False
37370,2025-12-26 16:07:11.951712,192.168.29.49,224.0.0.22,BENIGN,0.4079,False
37369,2025-12-26 16:07:11.657267,192.168.29.104,192.168.29.255,BENIGN,0.0,False
37368,2025-12-26 16:07:11.641806,192.168.29.1,224.0.0.1,BENIGN,0.4079,False
37367,2025-12-26 16:07:11.061881,192.168.29.49,192.168.29.1,SUSPICIOUS,0.71,False
37366,2025-12-26 16:07:11.049435,192.168.29.49,192.168.29.1,SUSPICIOUS,0.71,False
37365,2025-12-26 16:07:11.042006,192.168.29.1,192.168.29.49,SUSPICIOUS,0.71,False
37364,2025-12-26 16:07:11.034769,192.168.29.1,192.168.29.49,SUSPICIOUS,0.71,False
37363,2025-12-26 16:07:11.026515,192.168.29.49,192.168.29.1,SUSPICIOUS,0.71,False
37362,2025-12-26 16:07:11.019133,192.168.29.49,192.168.29.1,SUSPICIOUS,0.71,False
37361,2025-12-26 16:07:11.008000,192.168.29.1,192.168.29.49,SUSPICIOUS,0.71,False
37360,2025-12-26 16:07:10.998105,192.168.29.1,192.168.29.49,SUSPICIOUS,0.71,False
37359,2025-12-26 16:07:10.990575,192.168.29.49,192.168.29.1,SUSPICIOUS,0.71,False
37358,2025-12-26 16:07:10.981926,192.168.29.49,192.168.29.1,SUSPICIOUS,0.71,False
37357,2025-12-26 16:07:10.971768,192.168.29.49,192.168.29.1,SUSPICIOUS,0.71,False
37356,2025-12-26 16:07:10.960004,192.168.29.1,192.168.29.49,SUSPICIOUS,0.71,False
37355,2025-12-26 16:07:10.952125,192.168.29.49,192.168.29.1,SUSPICIOUS,0.71,False
37354,2025-12-26 16:07:10.944975,192.168.29.1,192.168.29.49,SUSPICIOUS,0.71,False
37353,2025-12-26 16:07:10.937470,192.168.29.49,192.168.29.1,SUSPICIOUS,0.71,False
37352,2025-12-26 16:07:10.930506,192.168.29.1,192.168.29.49,SUSPICIOUS,0.71,False
37351,2025-12-26 16:07:10.923110,192.168.29.1,192.168.29.49,SUSPICIOUS,0.71,False
37350,2025-12-26 16:07:10.915132,192.168.29.1,192.168.29.49,SUSPICIOUS,0.71,False
37349,2025-12-26 16:07:10.905233,192.168.29.1,192.168.29.49,SUSPICIOUS,0.71,False
37348,2025-12-26 16:07:10.897211,192.168.29.1,192.168.29.49,SUSPICIOUS,0.71,False
37347,2025-12-26 16:07:10.887848,192.168.29.1,192.168.29.49,SUSPICIOUS,0.71,False
37346,2025-12-26 16:07:10.880687,192.168.29.1,192.168.29.49,SUSPICIOUS,0.71,False
37345,2025-12-26 16:07:10.873201,192.168.29.1,192.168.29.49,SUSPICIOUS,0.71,False
37344,2025-12-26 16:07:10.865188,192.168.29.1,192.168.29.49,SUSPICIOUS,0.71,False
37343,2025-12-26 16:07:10.857013,192.168.29.49,192.168.29.1,SUSPICIOUS,0.71,False
37342,2025-12-26 16:07:10.849756,192.168.29.49,192.168.29.1,SUSPICIOUS,0.71,False
37341,2025-12-26 16:07:10.842192,192.168.29.49,192.168.29.1,SUSPICIOUS,0.71,False
37340,2025-12-26 16:07:10.830444,192.168.29.49,192.168.29.1,SUSPICIOUS,0.71,False
37339,2025-12-26 16:07:10.821866,192.168.29.49,192.168.29.1,SUSPICIOUS,0.71,False
37338,2025-12-26 16:07:10.811428,192.168.29.49,192.168.29.1,SUSPICIOUS,0.71,False
37337,2025-12-26 16:07:10.798585,192.168.29.49,192.168.29.1,SUSPICIOUS,0.71,False
37336,2025-12-26 16:07:10.790974,192.168.29.49,192.168.29.1,SUSPICIOUS,0.71,False
37335,2025-12-26 16:07:10.782468,192.168.29.49,192.168.29.1,SUSPICIOUS,0.71,False
37334,2025-12-26 16:07:10.774855,192.168.29.1,192.168.29.49,SUSPICIOUS,0.71,False
37333,2025-12-26 16:07:10.766093,192.168.29.1,192.168.29.49,SUSPICIOUS,0.71,False
37332,2025-12-26 16:07:10.758441,192.168.29.1,192.168.29.49,SUSPICIOUS,0.71,False
37331,2025-12-26 16:07:10.751054,34.72.0.0,192.168.29.49,BENIGN,0.4079,False
37330,2025-12-26 16:07:10.741132,192.168.29.49,192.168.29.1,SUSPICIOUS,0.71,False
37329,2025-12-26 16:07:10.732858,192.168.29.49,192.168.29.1,SUSPICIOUS,0.71,False
37328,2025-12-26 16:07:10.718595,192.168.29.49,192.168.29.1,SUSPICIOUS,0.71,False
37327,2025-12-26 16:07:10.462168,192.168.29.49,34.72.0.0,BENIGN,0.2471,False
37326,2025-12-26 16:07:10.310836,192.168.29.49,34.72.0.0,SUSPICIOUS,0.6182,False
37325,2025-12-26 16:07:10.303355,34.72.0.0,192.168.29.49,SUSPICIOUS,0.6182,False
37324,2025-12-26 16:07:10.294074,34.72.0.0,192.168.29.49,SUSPICIOUS,0.6182,False
37323,2025-12-26 16:07:10.286234,34.72.0.0,192.168.29.49,SUSPICIOUS,0.6182,False
37322,2025-12-26 16:07:10.275768,34.72.0.0,192.168.29.49,SUSPICIOUS,0.6182,False
37321,2025-12-26 16:07:10.268027,34.72.0.0,192.168.29.49,SUSPICIOUS,0.6182,False
37320,2025-12-26 16:07:10.261032,34.72.0.0,192.168.29.49,SUSPICIOUS,0.6182,False
37319,2025-12-26 16:07:10.250216,34.72.0.0,192.168.29.49,SUSPICIOUS,0.6182,False
37318,2025-12-26 16:07:10.243203,34.72.0.0,192.168.29.49,SUSPICIOUS,0.6182,False
37317,2025-12-26 16:07:10.235546,34.72.0.0,192.168.29.49,SUSPICIOUS,0.6182,False
37316,2025-12-26 16:07:10.228218,34.72.0.0,192.168.29.49,SUSPICIOUS,0.6182,False
37315,2025-12-26 16:07:10.220306,34.72.0.0,192.168.29.49,SUSPICIOUS,0.6182,False
37314,2025-12-26 16:07:10.212729,34.72.0.0,192.168.29.49,SUSPICIOUS,0.6182,False
37313,2025-12-26 16:07:10.202729,34.72.0.0,192.168.29.49,SUSPICIOUS,0.6182,False
37312,2025-12-26 16:07:10.195467,192.168.29.49,34.72.0.0,SUSPICIOUS,0.6182,False
37311,2025-12-26 16:07:10.186811,34.72.0.0,192.168.29.49,SUSPICIOUS,0.6182,False
37310,2025-12-26 16:07:10.176853,192.168.29.104,192.168.29.255,BENIGN,0.0,False
37309,2025-12-26 16:07:10.165018,34.72.0.0,192.168.29.49,SUSPICIOUS,0.6182,False
37308,2025-12-26 16:07:10.154151,34.72.0.0,192.168.29.49,BENIGN,0.4079,False
37307,2025-12-26 16:07:10.143308,192.168.29.49,34.72.0.0,SUSPICIOUS,0.6182,False
37306,2025-12-26 16:07:10.131535,192.168.29.49,34.72.0.0,SUSPICIOUS,0.6182,False
37305,2025-12-26 16:07:10.118933,192.168.29.49,34.72.0.0,SUSPICIOUS,0.6182,False
37304,2025-12-26 16:07:10.108363,192.168.29.49,34.72.0.0,SUSPICIOUS,0.6182,False
37303,2025-12-26 16:07:10.098048,192.168.29.49,34.72.0.0,SUSPICIOUS,0.6182,False
37302,2025-12-26 16:07:10.090934,192.168.29.49,34.72.0.0,SUSPICIOUS,0.6182,False
37301,2025-12-26 16:07:10.083528,192.168.29.49,34.72.0.0,SUSPICIOUS,0.6182,False
37300,2025-12-26 16:07:10.072999,192.168.29.49,34.72.0.0,SUSPICIOUS,0.6182,False
37299,2025-12-26 16:07:10.062735,192.168.29.49,34.72.0.0,SUSPICIOUS,0.6182,False
37298,2025-12-26 16:07:10.055341,192.168.29.49,34.72.0.0,SUSPICIOUS,0.6182,False
37297,2025-12-26 16:07:10.046925,192.168.29.49,34.72.0.0,SUSPICIOUS,0.6182,False
37296,2025-12-26 16:07:10.039363,34.72.0.0,192.168.29.49,SUSPICIOUS,0.6182,False
37295,2025-12-26 16:07:10.030068,34.72.0.0,192.168.29.49,SUSPICIOUS,0.6182,False
37294,2025-12-26 16:07:10.022703,34.72.0.0,192.168.29.49,SUSPICIOUS,0.6182,False
37293,2025-12-26 16:07:10.014009,34.72.0.0,192.168.29.49,SUSPICIOUS,0.6182,False
37292,2025-12-26 16:07:10.005011,34.72.0.0,192.168.29.49,SUSPICIOUS,0.6182,False
37291,2025-12-26 16:07:09.995991,34.72.0.0,192.168.29.49,SUSPICIOUS,0.6182,False
37290,2025-12-26 16:07:09.988446,34.72.0.0,192.168.29.49,SUSPICIOUS,0.6182,False
37289,2025-12-26 16:07:09.975828,34.72.0.0,192.168.29.49,SUSPICIOUS,0.6182,False
37288,2025-12-26 16:07:09.965819,34.72.0.0,192.168.29.49,SUSPICIOUS,0.6182,False
37287,2025-12-26 16:07:09.955938,34.72.0.0,192.168.29.49,SUSPICIOUS,0.6182,False
37286,2025-12-26 16:07:09.943463,34.72.0.0,192.168.29.49,SUSPICIOUS,0.6182,False
37285,2025-12-26 16:07:09.934848,34.72.0.0,192.168.29.49,SUSPICIOUS,0.6182,False
37284,2025-12-26 16:07:09.923245,34.72.0.0,192.168.29.49,SUSPICIOUS,0.6182,False
37283,2025-12-26 16:07:09.916073,34.72.0.0,192.168.29.49,SUSPICIOUS,0.6182,False
37282,2025-12-26 16:07:09.907880,34.72.0.0,192.168.29.49,SUSPICIOUS,0.6182,False
37281,2025-12-26 16:07:09.900974,34.72.0.0,192.168.29.49,SUSPICIOUS,0.6182,False
37280,2025-12-26 16:07:09.893533,34.72.0.0,192.168.29.49,SUSPICIOUS,0.6182,False
37279,2025-12-26 16:07:09.886150,34.72.0.0,192.168.29.49,SUSPICIOUS,0.6182,False
37278,2025-12-26 16:07:09.878892,34.72.0.0,192.168.29.49,SUSPICIOUS,0.6182,False
37277,2025-12-26 16:07:09.870470,192.168.29.49,34.72.0.0,SUSPICIOUS,0.6182,False
37276,2025-12-26 16:07:09.862428,34.72.0.0,192.168.29.49,SUSPICIOUS,0.6182,False
37275,2025-12-26 16:07:09.854709,192.168.29.49,34.72.0.0,BENIGN,0.2471,False
