src_ip,dst_ip,protocol,length,timestamp,threat_score,attack_type,is_malicious
74.125.250.135,10.209.19.197,TCP,132,2026-01-29 04:19:03.036478,0.6182,SUSPICIOUS,f
10.209.19.197,142.250.9.94,TCP,55,2026-01-29 04:19:03.023439,0.6182,SUSPICIOUS,f
10.209.19.197,74.125.250.135,TCP,54,2026-01-29 04:19:02.981642,0.6182,SUSPICIOUS,f
142.250.206.174,10.209.19.197,UDP,68,2026-01-29 04:19:02.976429,0.2471,BENIGN,f
74.125.250.135,10.209.19.197,TCP,118,2026-01-29 04:19:02.968893,0.6182,SUSPICIOUS,f
74.125.250.135,10.209.19.197,TCP,60,2026-01-29 04:19:02.96387,0.6182,SUSPICIOUS,f
74.125.250.135,10.209.19.197,TCP,60,2026-01-29 04:19:02.957871,0.6182,SUSPICIOUS,f
10.209.19.197,44.221.202.107,TCP,55,2026-01-29 04:19:02.91369,0.6182,SUSPICIOUS,f
10.209.19.197,74.125.250.135,TCP,180,2026-01-29 04:19:02.908684,0.6182,SUSPICIOUS,f
10.209.19.197,142.250.206.174,UDP,83,2026-01-29 04:19:02.901588,0.2471,BENIGN,f
